Date	Year	Month	Day	"FLW-01 SW Discharge, mgd"	"Calculated Total Reuse, mgd"
5/23/2019	2019	5	23	3.61	16.56
5/24/2019	2019	5	24	2.72	17.14
5/25/2019	2019	5	25	1.93	17.49
5/26/2019	2019	5	26	2.32	17.87
5/27/2019	2019	5	27	1.89	17.83
5/28/2019	2019	5	28	1.77	17.5
5/29/2019	2019	5	29	1.88	17.78
5/30/2019	2019	5	30	1.68	17.43
5/31/2019	2019	5	31	0.65	18.16
6/1/2019	2019	6	1	0	18.5
6/2/2019	2019	6	2	0	18.36
6/3/2019	2019	6	3	0	18.65
6/4/2019	2019	6	4	0	19.06
6/5/2019	2019	6	5	0	19.13
6/6/2019	2019	6	6	0	19.12
6/7/2019	2019	6	7	0	18.59
6/8/2019	2019	6	8	4.3	15.12
6/9/2019	2019	6	9	7.07	13.97
6/10/2019	2019	6	10	9.04	12.35
6/11/2019	2019	6	11	6.62	14.11
6/12/2019	2019	6	12	7.24	13.54
6/13/2019	2019	6	13	7.5	12.95
6/14/2019	2019	6	14	6.42	13.97
6/15/2019	2019	6	15	6.4	14.04
6/16/2019	2019	6	16	9.4	12.19
6/17/2019	2019	6	17	12.71	10.34
6/18/2019	2019	6	18	10.22	12.93
6/19/2019	2019	6	19	16.55	11.06
6/20/2019	2019	6	20	11.77	14.41
6/21/2019	2019	6	21	11.49	12.78
6/22/2019	2019	6	22	7.47	15.55
6/23/2019	2019	6	23	6.36	15.96
6/24/2019	2019	6	24	9.98	12.15
6/25/2019	2019	6	25	5.89	16.11
6/26/2019	2019	6	26	1.94	19.41
6/27/2019	2019	6	27	1.9	19.52
6/28/2019	2019	6	28	9.63	13.53
6/29/2019	2019	6	29	12.63	13.39
6/30/2019	2019	6	30	9.32	15.5
7/1/2019	2019	7	1	10.91	12.63
7/2/2019	2019	7	2	7.33	15.34
7/3/2019	2019	7	3	4.2	18.95
7/4/2019	2019	7	4	11.18	12.4
7/5/2019	2019	7	5	8.19	14.77
7/6/2019	2019	7	6	7.32	15.16
7/7/2019	2019	7	7	9.23	13.58
7/8/2019	2019	7	8	19.37	9.28
7/9/2019	2019	7	9	14.36	14.75
7/10/2019	2019	7	10	30.86	11.13
7/11/2019	2019	7	11	23.8	11
7/12/2019	2019	7	12	25.27	10.03
7/13/2019	2019	7	13	27.25	9.41
7/14/2019	2019	7	14	20.42	11.03
7/15/2019	2019	7	15	16.38	10.96
7/16/2019	2019	7	16	13.05	14.48
7/17/2019	2019	7	17	12.35	14.19
7/18/2019	2019	7	18	15.49	12.27
7/19/2019	2019	7	19	13.35	12.48
7/20/2019	2019	7	20	12.77	13.22
7/21/2019	2019	7	21	15.99	11.59
7/22/2019	2019	7	22	15.66	10.6
7/23/2019	2019	7	23	11.9	13.25
7/24/2019	2019	7	24	14.25	13.71
7/25/2019	2019	7	25	31.76	9.88
7/26/2019	2019	7	26	33.81	10.86
7/27/2019	2019	7	27	26.16	11.8
7/28/2019	2019	7	28	21.09	12.11
7/29/2019	2019	7	29	21.27	9.64
7/30/2019	2019	7	30	15.37	13.79
7/31/2019	2019	7	31	16.38	13.66
8/1/2019	2019	8	1	26.21	10.46
8/2/2019	2019	8	2	23.76	11.98
8/3/2019	2019	8	3	29.04	9.51
8/4/2019	2019	8	4	20.11	13.57
8/5/2019	2019	8	5	19.58	11.35
8/6/2019	2019	8	6	20.47	11.52
8/7/2019	2019	8	7	17.89	13.42
8/8/2019	2019	8	8	21.17	10.48
8/9/2019	2019	8	9	16.77	12.28
8/10/2019	2019	8	10	14.85	12.54
8/11/2019	2019	8	11	15.75	11.41
8/12/2019	2019	8	12	16.91	10.22
8/13/2019	2019	8	13	27.38	12.24
8/14/2019	2019	8	14	22.5	14.65
8/15/2019	2019	8	15	50.41	8.8
8/16/2019	2019	8	16	51.61	10.11
8/17/2019	2019	8	17	52.44	7.55
8/18/2019	2019	8	18	41.6	8.31
8/19/2019	2019	8	19	29.33	12.64
8/20/2019	2019	8	20	28.72	11.04
8/21/2019	2019	8	21	29.21	11.06
8/22/2019	2019	8	22	26.52	9.03
8/23/2019	2019	8	23	21.93	10.38
8/24/2019	2019	8	24	18.54	11.67
8/25/2019	2019	8	25	16.87	12.44
8/26/2019	2019	8	26	17.26	11.05
8/27/2019	2019	8	27	14.87	14.34
8/28/2019	2019	8	28	18.23	11.67
8/29/2019	2019	8	29	17.69	11.63
8/30/2019	2019	8	30	17.62	11.31
8/31/2019	2019	8	31	19.08	11.37
9/1/2019	2019	9	1	18.56	9.32
9/2/2019	2019	9	2	17.25	11.54
9/3/2019	2019	9	3	20.02	9.14
9/4/2019	2019	9	4	11.69	15.49
9/5/2019	2019	9	5	15.57	10.74
9/6/2019	2019	9	6	10.93	14.26
9/7/2019	2019	9	7	7.39	16.75
9/8/2019	2019	9	8	9.63	14.43
9/9/2019	2019	9	9	10.44	13.02
9/10/2019	2019	9	10	7.99	14.98
9/11/2019	2019	9	11	3.52	19.23
9/12/2019	2019	9	12	8.16	14.3
9/13/2019	2019	9	13	8.52	13.5
9/14/2019	2019	9	14	3.26	18.3
9/15/2019	2019	9	15	7.7	14.31
9/16/2019	2019	9	16	7.7	14.31
9/17/2019	2019	9	17	7.7	14.31
9/18/2019	2019	9	18	1	20.2
9/19/2019	2019	9	19	3.02	17.62
9/20/2019	2019	9	20	5.33	14.66
9/21/2019	2019	9	21	2.31	17.64
9/22/2019	2019	9	22	3.73	16.29
9/23/2019	2019	9	23	5.03	15.04
9/24/2019	2019	9	24	3.42	16.68
9/25/2019	2019	9	25	1.25	18.71
9/26/2019	2019	9	26	0	20.01
9/27/2019	2019	9	27	0.79	18.68
9/28/2019	2019	9	28	2.32	17.06
9/29/2019	2019	9	29	1.99	17.68
9/30/2019	2019	9	30	3.91	14.91
10/1/2019	2019	10	1	2.28	16.94
10/2/2019	2019	10	2	1.65	18.05
10/3/2019	2019	10	3	0	19.39
10/4/2019	2019	10	4	0	18.84
10/5/2019	2019	10	5	0	19.1
10/6/2019	2019	10	6	3.66	15.75
10/7/2019	2019	10	7	5.09	14.84
10/8/2019	2019	10	8	10.34	12.65
10/9/2019	2019	10	9	9.05	14.33
10/10/2019	2019	10	10	8.64	13.75
10/11/2019	2019	10	11	4.76	16.36
10/12/2019	2019	10	12	3.05	17.81
10/13/2019	2019	10	13	4.21	16.64
10/14/2019	2019	10	14	4.84	16.18
10/15/2019	2019	10	15	4.43	16.61
10/16/2019	2019	10	16	0	20.95
10/17/2019	2019	10	17	7.12	13.63
10/18/2019	2019	10	18	5.34	16.08
10/19/2019	2019	10	19	34.11	10.92
10/20/2019	2019	10	20	20.99	14.99
10/21/2019	2019	10	21	21.53	12.68
10/22/2019	2019	10	22	18.66	13.83
10/23/2019	2019	10	23	13.41	15.85
10/24/2019	2019	10	24	14.65	13.04
10/25/2019	2019	10	25	13.03	13.77
10/26/2019	2019	10	26	15.35	12.52
10/27/2019	2019	10	27	12.77	13.73
10/28/2019	2019	10	28	13.26	12.12
10/29/2019	2019	10	29	11.1	13.7
10/30/2019	2019	10	30	8.52	16.06
10/31/2019	2019	10	31	8.89	14.85
11/1/2019	2019	11	1	8.03	15.02
11/2/2019	2019	11	2	5.77	16.61
11/3/2019	2019	11	3	6.72	15.57
11/4/2019	2019	11	4	8.72	13.56
11/5/2019	2019	11	5	4.74	17.55
11/6/2019	2019	11	6	5.2	17.67
11/7/2019	2019	11	7	7.47	14.42
11/8/2019	2019	11	8	5.53	15.94
11/9/2019	2019	11	9	5.01	15.98
11/10/2019	2019	11	10	6.49	14.96
11/11/2019	2019	11	11	8.23	13.63
11/12/2019	2019	11	12	5.06	17.16
11/13/2019	2019	11	13	5.35	16.06
11/14/2019	2019	11	14	7.65	13.9
11/15/2019	2019	11	15	10.02	11.9
11/16/2019	2019	11	16	7.25	14.11
11/17/2019	2019	11	17	7.58	13.84
11/18/2019	2019	11	18	9.62	11.74
11/19/2019	2019	11	19	4.66	16.54
11/20/2019	2019	11	20	3.95	16.95
11/21/2019	2019	11	21	8.3	12.5
11/22/2019	2019	11	22	5.73	15.01
11/23/2019	2019	11	23	5.13	15.56
11/24/2019	2019	11	24	8.17	14.15
11/25/2019	2019	11	25	10.3	11.4
11/26/2019	2019	11	26	5.14	16.38
11/27/2019	2019	11	27	4.71	16.48
11/28/2019	2019	11	28	8.29	12.45
11/29/2019	2019	11	29	4.79	14.76
11/30/2019	2019	11	30	4.44	15.46
12/1/2019	2019	12	1	4.8	15.33
12/2/2019	2019	12	2	9.25	10.87
12/3/2019	2019	12	3	4.75	14.89
12/4/2019	2019	12	4	5.44	14.22
12/5/2019	2019	12	5	3.29	16.3
12/6/2019	2019	12	6	4.78	14.85
12/7/2019	2019	12	7	4.9	14.02
12/8/2019	2019	12	8	5.53	13.84
12/9/2019	2019	12	9	6.63	12.76
12/10/2019	2019	12	10	4.92	14.42
12/11/2019	2019	12	11	4.45	14.79
12/12/2019	2019	12	12	4.57	14.85
12/13/2019	2019	12	13	5.85	13.19
12/14/2019	2019	12	14	8.48	11.22
12/15/2019	2019	12	15	6.01	13.53
12/16/2019	2019	12	16	7.88	11.74
12/17/2019	2019	12	17	7.46	12.35
12/18/2019	2019	12	18	8.44	12.51
12/19/2019	2019	12	19	8.88	11.74
12/20/2019	2019	12	20	11.79	8.65
12/21/2019	2019	12	21	7.69	12.65
12/22/2019	2019	12	22	11.01	11.12
12/23/2019	2019	12	23	31.81	8.73
12/24/2019	2019	12	24	23.58	9.14
12/25/2019	2019	12	25	21.14	7.37
12/26/2019	2019	12	26	23.15	5.04
12/27/2019	2019	12	27	17.72	9.36
12/28/2019	2019	12	28	15.21	11.52
12/29/2019	2019	12	29	19.2	11.62
12/30/2019	2019	12	30	19.73	8.64
12/31/2019	2019	12	31	14.75	12.03
1/1/2020	2020	1	1	12.77	12.2
1/2/2020	2020	1	2	13.48	11.35
1/3/2020	2020	1	3	16.64	7.75
1/4/2020	2020	1	4	16.13	11.45
1/5/2020	2020	1	5	18.55	8.93
1/6/2020	2020	1	6	16.14	10.12
1/7/2020	2020	1	7	11.59	13.58
1/8/2020	2020	1	8	11.28	13.09
1/9/2020	2020	1	9	13.66	10.27
1/10/2020	2020	1	10	11.08	12.63
1/11/2020	2020	1	11	12.06	11.98
1/12/2020	2020	1	12	9.44	14.12
1/13/2020	2020	1	13	10.92	12.01
1/14/2020	2020	1	14	9.09	13.54
1/15/2020	2020	1	15	7.99	14.3
1/16/2020	2020	1	16	12.14	10.04
1/17/2020	2020	1	17	8.18	13.75
1/18/2020	2020	1	18	7.6	14.56
1/19/2020	2020	1	19	10.55	11.1
1/20/2020	2020	1	20	10.96	11.1
1/21/2020	2020	1	21	7.9	13.34
1/22/2020	2020	1	22	6.48	14.19
1/23/2020	2020	1	23	10	11
1/24/2020	2020	1	24	6.85	14.04
1/25/2020	2020	1	25	6.65	14.23
1/26/2020	2020	1	26	9.21	11.67
1/27/2020	2020	1	27	8.97	11.63
1/28/2020	2020	1	28	8.34	12.28
1/29/2020	2020	1	29	4.15	16.21
1/30/2020	2020	1	30	8.89	11.39
1/31/2020	2020	1	31	8.32	11.69
2/1/2020	2020	2	1	11.53	10.14
2/2/2020	2020	2	2	11.6	10.57
2/3/2020	2020	2	3	10.69	10.55
2/4/2020	2020	2	4	8.27	12.83
2/5/2020	2020	2	5	6.9	13.91
2/6/2020	2020	2	6	12.7	8.58
2/7/2020	2020	2	7	13.66	10.16
2/8/2020	2020	2	8	11.34	11.48
2/9/2020	2020	2	9	12.04	10.09
2/10/2020	2020	2	10	11.96	10.06
2/11/2020	2020	2	11	8.56	13.27
2/12/2020	2020	2	12	7.22	14.48
2/13/2020	2020	2	13	10.3	11.09
2/14/2020	2020	2	14	10.56	10.72
2/15/2020	2020	2	15	7.97	13.23
2/16/2020	2020	2	16	8.55	12.41
2/17/2020	2020	2	17	8.36	12.88
2/18/2020	2020	2	18	8.77	12.09
2/19/2020	2020	2	19	6.81	14.12
2/20/2020	2020	2	20	9.46	11.47
2/21/2020	2020	2	21	8.84	11.65
2/22/2020	2020	2	22	7.43	13.07
2/23/2020	2020	2	23	8.84	12.22
2/24/2020	2020	2	24	9.71	11.08
2/25/2020	2020	2	25	8.29	12.42
2/26/2020	2020	2	26	8.96	12.17
2/27/2020	2020	2	27	10.94	10.39
2/28/2020	2020	2	28	9.77	11.05
2/29/2020	2020	2	29	10.19	10.16
3/1/2020	2020	3	1	8.44	11.78
3/2/2020	2020	3	2	10.46	9.96
3/3/2020	2020	3	3	6.26	14.41
3/4/2020	2020	3	4	6.6	14.17
3/5/2020	2020	3	5	6.43	14.25
3/6/2020	2020	3	6	7.51	12.35
3/7/2020	2020	3	7	5.83	14.4
3/8/2020	2020	3	8	6.9	13.3
3/9/2020	2020	3	9	9.27	10.83
3/10/2020	2020	3	10	3.47	16.69
3/11/2020	2020	3	11	3.95	16.22
3/12/2020	2020	3	12	4.92	15.04
3/13/2020	2020	3	13	5.48	14.62
3/14/2020	2020	3	14	3.85	16.51
3/15/2020	2020	3	15	4.74	15.38
3/16/2020	2020	3	16	7.47	12.56
3/17/2020	2020	3	17	3.2	16.8
3/18/2020	2020	3	18	2.77	17.09
3/19/2020	2020	3	19	2.9	16.86
3/20/2020	2020	3	20	3.31	15.44
3/21/2020	2020	3	21	2.25	16.68
3/22/2020	2020	3	22	4.02	14.77
3/23/2020	2020	3	23	4.05	14.58
3/24/2020	2020	3	24	3.07	15.73
3/25/2020	2020	3	25	0.59	18.21
3/26/2020	2020	3	26	1.17	17.47
3/27/2020	2020	3	27	2.75	15.81
3/28/2020	2020	3	28	1.54	16.56
3/29/2020	2020	3	29	0	18.09
3/30/2020	2020	3	30	0.68	17.64
3/31/2020	2020	3	31	2.78	15.6
4/1/2020	2020	4	1	0.64	17.48
4/2/2020	2020	4	2	0	18.05
4/3/2020	2020	4	3	0	17.74
4/4/2020	2020	4	4	0	17.33
4/5/2020	2020	4	5	0	17.36
4/6/2020	2020	4	6	5.94	11.95
4/7/2020	2020	4	7	1.97	16.01
4/8/2020	2020	4	8	0	17.91
4/9/2020	2020	4	9	0	18
4/10/2020	2020	4	10	3.81	14.41
4/11/2020	2020	4	11	3.09	14.86
4/12/2020	2020	4	12	0	17.77
4/13/2020	2020	4	13	2.33	15.73
4/14/2020	2020	4	14	2.47	16.11
4/15/2020	2020	4	15	0	17.96
4/16/2020	2020	4	16	1.38	16.55
4/17/2020	2020	4	17	3.57	14.24
4/18/2020	2020	4	18	1.95	16.76
4/19/2020	2020	4	19	6.94	11.53
4/20/2020	2020	4	20	6.42	12.21
4/21/2020	2020	4	21	2.96	15.55
4/22/2020	2020	4	22	2.85	15.49
4/23/2020	2020	4	23	0	18.56
4/24/2020	2020	4	24	8.1	13.02
4/25/2020	2020	4	25	10.26	12.69
4/26/2020	2020	4	26	8.85	12.73
4/27/2020	2020	4	27	7.89	13.17
4/28/2020	2020	4	28	3.24	17.07
4/29/2020	2020	4	29	2.93	17.38
4/30/2020	2020	4	30	11.74	13.31
5/1/2020	2020	5	1	10.29	13.02
5/2/2020	2020	5	2	7.47	14.54
5/3/2020	2020	5	3	4.02	18.66
5/4/2020	2020	5	4	7.22	14.14
5/5/2020	2020	5	5	2.53	18.36
5/6/2020	2020	5	6	3.51	17.02
5/7/2020	2020	5	7	3.34	16.71
5/8/2020	2020	5	8	3.43	16.61
5/9/2020	2020	5	9	3.13	16.56
5/10/2020	2020	5	10	6.45	13.03
5/11/2020	2020	5	11	5.64	14.4
5/12/2020	2020	5	12	3.48	16.08
5/13/2020	2020	5	13	0.93	18.33
5/14/2020	2020	5	14	0	19.12
5/15/2020	2020	5	15	1.91	16.81
5/16/2020	2020	5	16	2.74	16.38
5/17/2020	2020	5	17	0	18.67
5/18/2020	2020	5	18	5.73	13.82
5/19/2020	2020	5	19	4.27	15.48
5/20/2020	2020	5	20	1.96	17.59
5/21/2020	2020	5	21	2.51	17.04
5/22/2020	2020	5	22	2.69	16.89
5/23/2020	2020	5	23	0	19.59
5/24/2020	2020	5	24	6.58	13.37
5/25/2020	2020	5	25	6.2	13.17
5/26/2020	2020	5	26	1.99	17.43
5/27/2020	2020	5	27	1.91	17.26
5/28/2020	2020	5	28	2.45	16.6
5/29/2020	2020	5	29	2.23	16.88
5/30/2020	2020	5	30	2.22	16.67
5/31/2020	2020	5	31	4.16	16.19
6/1/2020	2020	6	1	4.68	16.25
6/2/2020	2020	6	2	6.83	13.53
6/3/2020	2020	6	3	3.33	16.63
6/4/2020	2020	6	4	6.89	14.83
6/5/2020	2020	6	5	12.2	10.13
6/6/2020	2020	6	6	24.56	11.64
6/7/2020	2020	6	7	40.46	8.48
6/8/2020	2020	6	8	21.43	14.15
6/9/2020	2020	6	9	14.66	15.67
6/10/2020	2020	6	10	10.42	18.08
6/11/2020	2020	6	11	15.98	12.09
6/12/2020	2020	6	12	14.61	12.62
6/13/2020	2020	6	13	17.13	11.15
6/14/2020	2020	6	14	13.08	13.9
6/15/2020	2020	6	15	14.2	11.42
6/16/2020	2020	6	16	9.99	14.6
6/17/2020	2020	6	17	7.17	16.85
6/18/2020	2020	6	18	8.49	15.1
6/19/2020	2020	6	19	9.43	13.96
6/20/2020	2020	6	20	7.3	15.15
6/21/2020	2020	6	21	11.02	14.7
6/22/2020	2020	6	22	5.25	18.21
6/23/2020	2020	6	23	4.58	17.7
6/24/2020	2020	6	24	0	21.12
6/25/2020	2020	6	25	0	21.19
6/26/2020	2020	6	26	4.48	16.36
6/27/2020	2020	6	27	1.17	19.02
6/28/2020	2020	6	28	0	19.95
6/29/2020	2020	6	29	6.11	14
6/30/2020	2020	6	30	1.44	18.58
7/1/2020	2020	7	1	0	19.96
7/2/2020	2020	7	2	0.6	19.49
7/3/2020	2020	7	3	3.09	16.19
7/4/2020	2020	7	4	0	18.9
7/5/2020	2020	7	5	2.76	16.34
7/6/2020	2020	7	6	7.57	12.49
7/7/2020	2020	7	7	0.96	18.78
7/8/2020	2020	7	8	2.2	17.5
7/9/2020	2020	7	9	2.71	16.71
7/10/2020	2020	7	10	2.35	17.03
7/11/2020	2020	7	11	1.46	17.37
7/12/2020	2020	7	12	1.42	17.17
7/13/2020	2020	7	13	5.67	13.3
7/14/2020	2020	7	14	0.87	17.76
7/15/2020	2020	7	15	0	17.49
7/16/2020	2020	7	16	3.19	16.68
7/17/2020	2020	7	17	7.24	13.04
7/18/2020	2020	7	18	7.33	12.49
7/19/2020	2020	7	19	7.7	13
7/20/2020	2020	7	20	8.22	12.91
7/21/2020	2020	7	21	6.1	15.21
7/22/2020	2020	7	22	7.63	14.13
7/23/2020	2020	7	23	12.07	11.75
7/24/2020	2020	7	24	14.76	10.61
7/25/2020	2020	7	25	15.48	10.47
7/26/2020	2020	7	26	12.15	11.86
7/27/2020	2020	7	27	12.81	11.28
7/28/2020	2020	7	28	18.19	11.93
7/29/2020	2020	7	29	13.26	13.64
7/30/2020	2020	7	30	10.98	14.06
7/31/2020	2020	7	31	9.94	13.37
8/1/2020	2020	8	1	9.07	13.59
8/2/2020	2020	8	2	6.71	15.78
8/3/2020	2020	8	3	10.36	11.95
8/4/2020	2020	8	4	9.29	14.28
8/5/2020	2020	8	5	2.69	18.58
8/6/2020	2020	8	6	1.98	19.03
8/7/2020	2020	8	7	4.06	15.98
8/8/2020	2020	8	8	0.73	18.97
8/9/2020	2020	8	9	3.84	17.05
8/10/2020	2020	8	10	5.6	15.28
8/11/2020	2020	8	11	5.05	16.53
8/12/2020	2020	8	12	3.22	18.05
8/13/2020	2020	8	13	3.77	16.87
8/14/2020	2020	8	14	2.04	17.96
8/15/2020	2020	8	15	2.02	17.75
8/16/2020	2020	8	16	2.02	17.86
8/17/2020	2020	8	17	6.71	13.61
8/18/2020	2020	8	18	4.57	16.07
8/19/2020	2020	8	19	6.87	14.69
8/20/2020	2020	8	20	6.36	15.56
8/21/2020	2020	8	21	11.52	12.19
8/22/2020	2020	8	22	11.06	12.2
8/23/2020	2020	8	23	11.37	12.2
8/24/2020	2020	8	24	13.36	10.64
8/25/2020	2020	8	25	10.11	13.61
8/26/2020	2020	8	26	6.68	16.09
8/27/2020	2020	8	27	8.51	14.25
8/28/2020	2020	8	28	4.87	16.94
8/29/2020	2020	8	29	4.95	16.52
8/30/2020	2020	8	30	20.93	13.56
8/31/2020	2020	8	31	33.49	10.57
9/1/2020	2020	9	1	19.85	14.44
9/2/2020	2020	9	2	19.2	13.03
9/3/2020	2020	9	3	15.22	15.04
9/4/2020	2020	9	4	13.83	14.39
9/5/2020	2020	9	5	11.35	15.41
9/6/2020	2020	9	6	13	14.32
9/7/2020	2020	9	7	20.81	11.72
9/8/2020	2020	9	8	19.7	12.68
9/9/2020	2020	9	9	21.54	13.67
9/10/2020	2020	9	10	22.07	13.59
9/11/2020	2020	9	11	27.54	10.65
9/12/2020	2020	9	12	22.67	10.74
9/13/2020	2020	9	13	26	9.72
9/14/2020	2020	9	14	26.64	9.86
9/15/2020	2020	9	15	22.73	10.54
9/16/2020	2020	9	16	23.62	10.91
9/17/2020	2020	9	17	25.96	9.07
9/18/2020	2020	9	18	22.62	11.27
9/19/2020	2020	9	19	21.16	9.52
9/20/2020	2020	9	20	18.34	9.8
9/21/2020	2020	9	21	13.66	13.05
9/22/2020	2020	9	22	11.88	13.68
9/23/2020	2020	9	23	10.04	14.87
9/24/2020	2020	9	24	8.7	15.8
9/25/2020	2020	9	25	8.14	15.67
9/26/2020	2020	9	26	8.54	15.09
9/27/2020	2020	9	27	10.99	12.69
9/28/2020	2020	9	28	10.55	13.85
9/29/2020	2020	9	29	10.5	12.56
9/30/2020	2020	9	30	11.79	10.99
10/1/2020	2020	10	1	9.12	13.23
10/2/2020	2020	10	2	10.09	11.44
10/3/2020	2020	10	3	9.09	12.04
10/4/2020	2020	10	4	15.07	9.46
10/5/2020	2020	10	5	10.58	12.04
10/6/2020	2020	10	6	9.55	13.03
10/7/2020	2020	10	7	5.66	16.39
10/8/2020	2020	10	8	6.3	15.47
10/9/2020	2020	10	9	7.19	13.98
10/10/2020	2020	10	10	7.35	13.55
10/11/2020	2020	10	11	11.39	10.86
10/12/2020	2020	10	12	10.04	12.56
10/13/2020	2020	10	13	8.87	13.04
10/14/2020	2020	10	14	5.82	15.62
10/15/2020	2020	10	15	6.7	14.4
10/16/2020	2020	10	16	5.22	15.4
10/17/2020	2020	10	17	5.45	14.5
10/18/2020	2020	10	18	9.26	12.81
10/19/2020	2020	10	19	5.85	13.96
10/20/2020	2020	10	20	5.99	14.43
10/21/2020	2020	10	21	5.7	14.8
10/22/2020	2020	10	22	6.25	14.2
10/23/2020	2020	10	23	7.18	12.9
10/24/2020	2020	10	24	5.21	14.26
10/25/2020	2020	10	25	7.62	13
10/26/2020	2020	10	26	4.31	15.23
10/27/2020	2020	10	27	6.7	13.49
10/28/2020	2020	10	28	3.59	16.32
10/29/2020	2020	10	29	5.65	14.31
10/30/2020	2020	10	30	7.77	12.45
10/31/2020	2020	10	31	6.17	13.84
11/1/2020	2020	11	1	8.16	13.91
11/2/2020	2020	11	2	5.74	13.97
11/3/2020	2020	11	3	5.63	14.05
11/4/2020	2020	11	4	3.27	16.33
11/5/2020	2020	11	5	2.32	16.67
11/6/2020	2020	11	6	4.33	14.41
11/7/2020	2020	11	7	4.33	14.49
11/8/2020	2020	11	8	6.05	12.92
11/9/2020	2020	11	9	7.33	11.62
11/10/2020	2020	11	10	5.82	13.62
11/11/2020	2020	11	11	22.51	10.78
11/12/2020	2020	11	12	41.64	12.25
11/13/2020	2020	11	13	26.29	10.55
11/14/2020	2020	11	14	24.65	9.66
11/15/2020	2020	11	15	20.21	10.86
11/16/2020	2020	11	16	19.35	9.82
11/17/2020	2020	11	17	14.71	12.87
11/18/2020	2020	11	18	12.6	13.78
11/19/2020	2020	11	19	12.69	12.77
11/20/2020	2020	11	20	12.32	12.76
11/21/2020	2020	11	21	12.87	11.53
11/22/2020	2020	11	22	9.75	14.57
11/23/2020	2020	11	23	11.7	12.06
11/24/2020	2020	11	24	10.46	12.45
11/25/2020	2020	11	25	7.94	15.41
11/26/2020	2020	11	26	10.3	12.65
11/27/2020	2020	11	27	9.01	12.79
11/28/2020	2020	11	28	7.56	14.41
11/29/2020	2020	11	29	9.14	13.06
11/30/2020	2020	11	30	13.38	10.45
12/1/2020	2020	12	1	10.53	13.17
12/2/2020	2020	12	2	8.84	12.92
12/3/2020	2020	12	3	9.2	12.42
12/4/2020	2020	12	4	9.4	12.18
12/5/2020	2020	12	5	7.83	13.59
12/6/2020	2020	12	6	9.8	11
12/7/2020	2020	12	7	9.89	12.49
12/8/2020	2020	12	8	10.6	11.4
12/9/2020	2020	12	9	7.73	13.88
12/10/2020	2020	12	10	9.79	11.56
12/11/2020	2020	12	11	8.61	12.14
12/12/2020	2020	12	12	7.49	13.08
12/13/2020	2020	12	13	9.21	11.76
12/14/2020	2020	12	14	9.79	11.1
12/15/2020	2020	12	15	8.36	12.62
12/16/2020	2020	12	16	9.76	11.77
12/17/2020	2020	12	17	13.06	9.48
12/18/2020	2020	12	18	11.63	10.01
12/19/2020	2020	12	19	10.58	11.18
12/20/2020	2020	12	20	16.22	9.5
12/21/2020	2020	12	21	19.78	10.29
12/22/2020	2020	12	22	18	9.6
12/23/2020	2020	12	23	14.02	12.09
12/24/2020	2020	12	24	17.44	8.38
12/25/2020	2020	12	25	17.61	8.57
12/26/2020	2020	12	26	16.46	8.18
12/27/2020	2020	12	27	12.47	12.07
12/28/2020	2020	12	28	15.94	8.2
12/29/2020	2020	12	29	12	11.65
12/30/2020	2020	12	30	10.02	13.44
12/31/2020	2020	12	31	12.55	10.93
1/1/2021	2021	1	1	12.5	10.23
1/2/2021	2021	1	2	10.86	11.67
1/3/2021	2021	1	3	13.97	8.75
1/4/2021	2021	1	4	12.67	9.6
1/5/2021	2021	1	5	10.4	11.52
1/6/2021	2021	1	6	8.19	13.23
1/7/2021	2021	1	7	9.95	11.46
1/8/2021	2021	1	8	11.79	9.27
1/9/2021	2021	1	9	9.94	10.71
1/10/2021	2021	1	10	13.84	6.9
1/11/2021	2021	1	11	13.12	7.78
1/12/2021	2021	1	12	8.61	12.24
1/13/2021	2021	1	13	12.04	8.58
1/14/2021	2021	1	14	12.93	7.83
1/15/2021	2021	1	15	14.48	6.38
1/16/2021	2021	1	16	14.51	6.78
1/17/2021	2021	1	17	12.96	8.03
1/18/2021	2021	1	18	9.64	11.1
1/19/2021	2021	1	19	7.91	12.43
1/20/2021	2021	1	20	6.69	13.54
1/21/2021	2021	1	21	8.34	11.91
1/22/2021	2021	1	22	9.2	10.82
1/23/2021	2021	1	23	7.3	12.69
1/24/2021	2021	1	24	8.3	12.12
1/25/2021	2021	1	25	8.28	12.1
1/26/2021	2021	1	26	8.41	12.01
1/27/2021	2021	1	27	7.2	13.14
1/28/2021	2021	1	28	10.01	10.38
1/29/2021	2021	1	29	9.03	10.82
1/30/2021	2021	1	30	7.12	12.88
1/31/2021	2021	1	31	10.59	10.01
2/1/2021	2021	2	1	14.29	8.58
2/2/2021	2021	2	2	11.16	10.7
2/3/2021	2021	2	3	8.29	13.03
2/4/2021	2021	2	4	10.9	8.62
2/5/2021	2021	2	5	8.38	12.59
2/6/2021	2021	2	6	8.82	12.48
2/7/2021	2021	2	7	14.53	8.28
2/8/2021	2021	2	8	9.82	11.77
2/9/2021	2021	2	9	9.48	11.78
2/10/2021	2021	2	10	9.86	11.15
2/11/2021	2021	2	11	10.47	10.45
2/12/2021	2021	2	12	8.92	12.07
2/13/2021	2021	2	13	12.31	10.11
2/14/2021	2021	2	14	17.71	8.94
2/15/2021	2021	2	15	18.17	8.31
2/16/2021	2021	2	16	17.51	10.42
2/17/2021	2021	2	17	16	10.35
2/18/2021	2021	2	18	16.62	8.96
