"","target","targ_x","targ_y"
"1",1,344902.2,3080488
"2",1,343260.7,3080509
"3",1,348208.3,3082293
"4",1,346567.1,3082314
"5",1,344925.9,3082335
"6",1,343284.7,3082356
"7",1,348231.5,3084139
"8",1,346590.5,3084160
"9",1,344949.6,3084181
"10",1,343308.7,3084202
"11",1,341667.7,3084224
"12",1,348254.7,3085986
"13",1,346614.1,3086007
"14",1,344973.3,3086028
"15",1,343332.6,3086049
"16",1,341691.9,3086070
"17",1,340051.2,3086092
"18",1,338410.5,3086114
"19",1,348278,3087832
"20",1,346637.6,3087853
"21",1,344997.1,3087874
"22",1,343356.7,3087895
"23",1,341716.2,3087917
"24",1,340075.7,3087938
"25",1,338435.3,3087960
"26",1,348301.3,3089679
"27",1,346661.1,3089700
"28",1,345020.9,3089721
"29",1,343380.7,3089742
"30",1,341740.5,3089763
"31",1,340100.3,3089785
"32",1,338460,3089807
"33",1,336819.8,3089829
"34",1,335179.5,3089851
"35",1,348324.5,3091526
"36",1,346684.6,3091546
"37",1,345044.7,3091567
"38",1,343404.7,3091589
"39",1,341764.8,3091610
"40",1,340124.8,3091632
"41",1,338484.8,3091654
"42",1,336844.8,3091676
"43",1,335204.8,3091698
"44",1,333564.8,3091721
"45",1,331924.9,3091744
"46",1,346708.2,3093393
"47",1,345068.5,3093414
"48",1,343428.8,3093435
"49",1,341789,3093457
"50",1,340149.4,3093478
"51",1,338509.6,3093500
"52",1,336869.9,3093522
"53",1,335230.2,3093545
"54",1,333590.4,3093567
"55",1,331950.6,3093590
"56",1,345092.3,3095260
"57",1,343452.8,3095282
"58",1,341813.4,3095303
"59",1,340173.9,3095325
"60",1,338534.4,3095347
"61",1,336895,3095369
"62",1,335255.5,3095391
"63",1,333616,3095414
"64",1,340198.5,3097171
"65",1,338559.3,3097193
"66",1,336920,3097216
"67",1,335280.8,3097238
"68",1,340223.1,3099018
"69",1,338584.2,3099040
"70",1,335306.2,3099085
"71",1,336970.3,3100909
"72",1,335331.5,3100931
"73",2,361253.2,3074749
"74",2,359632.4,3076614
"75",2,357990.6,3076634
"76",2,361295.6,3078442
"77",2,359653.9,3078461
"78",2,356370.6,3078500
"79",2,361316.7,3080288
"80",2,359675.4,3080307
"81",2,358033.9,3080327
"82",2,356392.5,3080346
"83",2,362979.1,3082116
"84",2,361337.9,3082135
"85",2,359696.8,3082154
"86",2,358055.7,3082173
"87",2,356414.5,3082193
"88",2,354773.3,3082212
"89",2,361359.2,3083981
"90",2,358077.4,3084019
